         1944057 function calls (1916156 primitive calls) in 18.816 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3872    0.003    0.000    0.214    0.000 tokenizer.pyx:233(_tokenize)
        2    0.000    0.000    0.203    0.102 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
        1    0.000    0.000    0.194    0.194 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.194    0.194 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.194    0.194 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        7    0.180    0.026    0.183    0.026 {built-in method _pickle.load}
        4    0.018    0.004    0.181    0.045 pipes.pyx:426(set_annotations)
       12    0.000    0.000    0.175    0.015 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
     3872    0.013    0.000    0.168    0.000 tokenizer.pyx:297(_attach_tokens)
        1    0.000    0.000    0.166    0.166 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.166    0.166 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.166    0.166 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
     1871    0.006    0.000    0.163    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lemmatizer.py:35(__call__)
        4    0.014    0.003    0.158    0.039 {method 'from_disk' of 'spacy.syntax.nn_parser.Parser' objects}
   135303    0.083    0.000    0.154    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
     32/8    0.001    0.000    0.150    0.019 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
      442    0.147    0.000    0.149    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lemmatizer.py:146(lemmatize)
     4620    0.004    0.000    0.139    0.000 vocab.pyx:134(get)
        4    0.000    0.000    0.131    0.033 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:293(begin_update)
       27    0.000    0.000    0.129    0.005 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
       27    0.129    0.005    0.129    0.005 {built-in method from_error_rate}
        4    0.000    0.000    0.124    0.031 pipes.pyx:408(predict)
        8    0.000    0.000    0.123    0.015 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:308(predict)
       24    0.003    0.000    0.118    0.005 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\layernorm.py:60(begin_update)
       48    0.113    0.002    0.114    0.002 ops.pyx:512(gemm)
     1502    0.001    0.000    0.112    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.111    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
        6    0.000    0.000    0.109    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\_ml.py:321(Tok2Vec)
        6    0.000    0.000    0.109    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\ml\_legacy_tok2vec.py:15(Tok2Vec)
     24/4    0.004    0.000    0.109    0.027 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:38(predict)
       16    0.002    0.000    0.108    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\resnet.py:28(begin_update)
