Nationality
Afghan
Åland Island
Albanian
Algerian
American Samoan
Andorran
Angolan
Anguillan
Antarctic
Antiguan 
Barbudan
Argentine
Armenian
Aruban
Australian
Austrian
Azerbaijani
Azeri
Bahamian
Bahraini
Bangladeshi
Barbadian
Belarusian
Belgian
Belizean
Beninese
Beninois
Bermudian
Bermudan
Bhutanese
Bolivian
Bonaire
Bosnian
Herzegovinian
Bosnian Herzegovinian
Motswana
Botswanan
Bouvet Island
Brazilian
BIOT
Bruneian
Bulgarian
Burkinabé
Burundian
Cabo Verdean
Cambodian
Cameroonian
Canadian
Caymanian
Central African
Chadian
Chilean
Chinese
Christmas Island
Cocos Island
Colombian
Comoran
Comorian
Congolese
Congolese
Cook Island
Costa Rican
Ivorian
Croatian
Cuban
Curaçaoan
Cypriot
Czech
Danish
Djiboutian
Dominican
Dominican
Ecuadorian
Egyptian
Salvadoran
Equatorial Guinean
Equatoguinean
Eritrean
Estonian
Ethiopian
Falkland Island
Faroese
Fijian
Finnish
French
French Guianese
French Polynesian
French Southern Territories
Gabonese
Gambian
Georgian
German
Ghanaian
Gibraltar
Greek
Hellenic
Greenlandic
Grenadian
Guadeloupe
Guamanian
Guambat
Guatemalan
Channel Island
Guinean
Bissau-Guinean
Guyanese
Haitian
Heard Island
McDonald Islands
Vatican
Honduran
Hong Kong
Hong Kongese
Hungarian
Magyar
Icelandic
Indian
Indonesian
Iranian
Persian
Iraqi
Irish
Manx
Israeli
Italian
Jamaican
Japanese
Channel Island
Jordanian
Kazakhstani
Kazakh
Kenyan
I-Kiribati
North Korean
South Korean
Kuwaiti
Kyrgyzstani
Kyrgyz
Kirgiz
Kirghiz
Lao
Laotian
Latvian
Lebanese
Basotho
Liberian
Libyan
Liechtenstein
Lithuanian
Luxembourg
Luxembourgish
Macanese
Chinese
Macedonian
Malagasy
Malawian
Malaysian
Maldivian
Malian
Malinese
Maltese
Marshallese
Martiniquais
Martinican
Mauritanian
Mauritian
Mahoran
Mexican
Micronesian
Moldovan
Monégasque
Monacan
Mongolian
Montenegrin
Montserratian
Moroccan
Mozambican
Burmese
Namibian
Nauruan
Nepali
Nepalese
Dutch
Netherlandic
New Caledonian
New Zealand
NZ
Nicaraguan
Nigerien
Nigerian
Niuean
Norfolk Island
Northern Marianan
Norwegian
Omani
Pakistani
Palauan
Palestinian
Panamanian
Papua New Guinean
Papuan
Paraguayan
Peruvian
Philippine
Filipino
Pitcairn Island
Polish
Portuguese
Puerto Rican
Qatari
Réunionese
Réunionnais
Romanian
Russian
Rwandan
Barthélemois
Saint Helenian
Kittitian
Nevisian
Saint Lucian
Saint-Martinoise
Saint-Pierrais
Miquelonnais
Saint Vincentian
Vincentian
Samoan
Sammarinese
São Toméan
Saudi
Saudi Arabian
Senegalese
Serbian
Seychellois
Sierra Leonean
Singaporean
Sint Maarten
Slovak
Slovenian
Solomon Island
Somali
South African
South Georgia
South Sandwich Islands
South Sudanese
Spanish
Sri Lankan
Sudanese
Surinamese
Svalbard
Swazi
Swedish
Swiss
Syrian
Chinese
Taiwanese
Tajikistani
Tanzanian
Thai
Timorese
Togolese
Tokelauan
Tongan
Trinidadian
Tobagonian
Tunisian
Turkish
Turkmen
Turks
Caicos Island
Tuvaluan
Ugandan
Ukrainian
Emirati
Emirian
Emiri
British
American
American
Uruguayan
Uzbekistani
Uzbek
Ni-Vanuatu
Vanuatuan
Venezuelan
Vietnamese
British Virgin Island
U.S. Virgin Island
Wallis and Futuna
Wallisian
Futunan
Sahrawi
Sahrawian
Sahraouian
Yemeni
Zambian
Zimbabwean
