Predefined_skills
ajenti
django-suit
django-xadmin
flask-admin
flower
grappelli
wooey
pypattyrn
Python-patterns
Sorted-containers
django
fanstatic
jinja-assets-compressor
pyjwt
python
dogpile.cache
hermescache
johnny-cache
spark
virtualenv
pytorch
keras
tensorflow
theano
docker
cuisine
fabric
fabtools
openstack
haystack
pexpect
java
r
c++
c#
sphinx
sphinxdoc
mkdocs
pdoc
pycco
s3cmd
s4cmd
Youtube-dl
c
hadoop
bigdata
datamining
django oscar
django shop
react
nodejs
node.js
angular
html
html5
css
bootstrap
cartridge
matplotlib
shoop
emacs
elpy
sublime
anaconda
vim
Jedi-vim
ptvs
visual
blender
maya
maya3d
spyder
flanker
flutter
mongodb
neo4j
swig
bootstrap3
tkinter
pattern
celery
ajax
tastypie
devpi
photoshop
sql
sqlalchemy
oracle
Stream-framework
Stream-framework
orator
conda
curdling
wheel
warehouse
bandersnatch
sarge
cpython
grumpy
cython
ironpython
jython
jupyter
jupyter-notebook
microsoft-word
ptpython
nupic
scikit-learn
sklearn
pillow
open-cv
openCV
opencv
pynorm
peewee
hmap
pyocr
ocr
pycallgraph
graphql
graph-ql
docopt
gooey
cement
mezzanine
oop
plone
blackbox-testing
blockchain
colorama
six
pgcli
cryptography
data-analytics
mysql
data-mining
analytical-skills
debugging
linux
unit-testing
testing
hdl
php
javascript
perl
ruby
ruby-on-rails
cms
crm
cad
wordpress
android
react native
react-native
reactjs
Neo4j
Salesforce CRM
Salesforce SFA
Apex Language
SOQL
SOSL
Visualforce Pages/Components
Apex Web Services
Apex Data Loader
Visualforce
PL-SQL
GitHub
Eclipse 
MS SQL Server 2000/2005
Oracle 8i/9i/10g
MS Access
DB2
Objective-C
PhoneGap
Appcelerator
J2ME
Android Studio
Titanium Studio 3.2
Dreamweaver CC
Visual Studio
Xamarin
Eclipse4.3
C++
C
C#
SCM
UCM 
Multisite
SVN
TFS/VSTS
GIT
git
Visual C++
Oracle 9i/8i/10g
IBM DB2/UDB
SQL
UML
XML
Jasmine
jQuery
Bootstrap
AngularJS
JSF
webpack
ReactJS
NodeJS
Spring
Struts 2
Hibernate
Mockito
TestNG
Junit
Patterns
WebLogic Server
JBoss
WebSphere
Jenkins
Docker
Rally
routing
switching
wireless communication
monitoring
security policies
Oracle
MS SQL
Data Analysis
Object Oriented Programming
AGILE
uml
Waterfall
Spiral
Rapid Application Development
Scrum
Tableau
tableau
MS access
json
CISCO
Networking
Hadoop
RDBMS
Testing
Powe BI
Business Intelligence
business intelligence
SDLC
AWS
SAS
JavaScript
Java
Python
Business Analysis
Git
Github
Gitlab
CSS
AJAX
JSP
XML
HTML
HTML5
Adobe Photoshop
MS Office
Angular
Angular.JS
JQuery
jquery
Apex
Cyber Security
PL/SQL
JDBC
SQL Server
User Acceptance Testing 
Regression testing
regression testing
user acceptance testing 
J2EE
PHP
PL SQL
Data Mining
Data Warehousing
MS Visio
Quality Assurance
QA
Quality Control
QC
ASP.NET
MVC
OOP
OOAD
Object Oriented Analysis and Design
REST
SOAP
SOA
Service Oriented Architecture
Knockout.JS
Ember.JS
Simplified Wrapper and Interface Generator
Black-box testing
ORM
Object Relational Mapping
Unit Testing
Load Testing
unit testing
load testing
cyber security
load testing
JSON
.NET
REST framework
ADO.NET
Agile
Ajenti
Django-suit
Django-xadmin
Flask-admin
Flower
Grappelli
Wooey
Pypattyrn
python-patterns
sorted-containers
Django
Fanstatic
Jinja-assets-compressor
Pyjwt
python-patterns
Dogpile.cache
Hermescache
Johnny-cache
Spark
Virtualenv
Pytorch
Keras
Tensorflow
Theano
Docker
Cuisine
Fabric
Fabtools
Openstack
Haystack
Pexpect
xml
R
object relational mapping
orm
Sphinx
Sphinxdoc
MkDocs
Pdoc
Pycco
S3cmd
S4cmd
youtube-dl
agile
ember.js
Bigdata
Data mining
Django Oscar
Django SHOP
React
Nodejs
Node.js
cisco
ado.net
html5
ember.JS
knockout.JS
Cartridge
Matplotlib
Shoop
Emacs
Elpy
Sublime
Anaconda
Vim
jedi-vim
PTVS
Visual
Blender
Maya
Maya3d
Spyder
Flanker
Flutter
MongoDB
service oriented architecture
SWIG
Bootstrap3
TkInter
Pattern
Celery
Ajax
Tastypie
Devpi
Photoshop
knockout.js
SqlAlchemy
Oracle
Stream-Framework
Stream Framework
Orator
Conda
Curdling
Wheel
Warehouse
Bandersnatch
Sarge
CPython
Grumpy
Cython
IronPython
Jython
Jupyter
Jupyter Notebook
Microsoft Word
NUPIC
Scikit learn
Scikit-learn
Sklearn
Pillow
OpenCV
rest framework
.net
PyNorm
Pee Wee
Hmap
PyOCR
OCR
PyCallGraph
GraphQL
Graph-QL
Docopt
Gooey
Cement
Mezzanine
OOP
Plone
Black Box Testing
Blockchain
Colorama
Six
Pgcli
Cryptography
Data Analytics
My-SQL
Data-mining
Analytical-skills
Debugging
Linux
gitlab
